VID,FrameID,Color,Texture,Edge
1,0,-18.77386,3.283,21.31308594
1,0,-19.12452,3.268,21.28209635
1,0,-18.70684,3.251,21.0452474
1,0,-18.20434,3.247,20.74033203
1,0,-17.8815,3.25,20.54775391
1,0,-17.52474,3.253,20.20078125
1,0,-17.43493,3.243,19.97333984
1,0,-16.25383,3.243,19.34303385
1,0,-15.33421,3.238,18.89977214
1,0,-13.34576,3.238,17.99554036
1,0,-12.29492,3.234,17.44049479
1,0,-11.03178,3.253,17.4858724
1,0,-11.28458,3.252,17.57552083
1,0,-10.62114,3.264,17.63473307
1,0,-10.97991,3.267,17.68066406
1,0,-10.7527,3.266,17.04593099
1,0,-10.52248,3.253,16.70338542
1,0,-11.26624,3.249,16.65966797
1,0,-11.76672,3.246,17.15273438
1,0,-13.68171,3.217,19.27220052
1,0,-15.12033,3.219,19.00159505
1,0,-16.46567,3.234,20.0319987
1,0,-17.14748,3.227,20.26552734
1,0,-17.34137,3.239,20.61083984
1,0,-18.78,3.3,20.52727865
1,0,-18.57454,3.31,20.9655599
1,0,-19.10447,3.315,20.87923177
1,0,-19.28079,3.32,21.37340495
1,0,-19.31294,3.327,21.47799479
1,0,-19.76191,3.325,21.58977865
1,0,-19.40142,3.332,21.59309896
1,0,-19.65118,3.327,21.65286458
1,0,-19.77991,3.328,21.93343099
1,0,-20.09217,3.327,21.73808594
1,0,-19.49724,3.326,21.72535807
1,0,-19.8302,3.321,21.48463542
1,0,-19.39473,3.314,21.48574219
1,0,-20.2842,3.317,21.71429036
1,0,-20.37734,3.32,22.04244792
1,0,-20.26302,3.341,22.51116536
1,0,-20.61298,3.335,22.02529297
1,0,-20.23057,3.335,22.12213542
1,0,-14.91497,3.31,20.68720703
1,0,-15.26112,3.308,20.80009766
1,0,-15.24401,3.311,21.05686849
1,0,-15.88476,3.319,21.54440104
1,0,-15.85857,3.323,21.44866536
1,0,-16.29446,3.317,21.60472005
1,0,-15.83486,3.313,20.62522786
1,0,-16.69944,3.321,20.91741536
1,0,-17.60183,3.321,21.51064453
1,0,-17.72121,3.321,21.54440104
1,0,-18.1766,3.322,21.49182943
1,0,-18.23707,3.327,21.24944661
1,0,-17.9095,3.323,21.29593099
1,0,-18.49824,3.324,21.76077474
1,0,-18.16827,3.329,21.77516276
1,0,-18.69021,3.326,21.74583333
1,0,-18.80664,3.326,21.5460612
1,0,-18.24841,3.327,21.86813151
1,0,-18.75123,3.323,22.18577474
1,0,-18.53273,3.329,21.89469401
1,0,-18.6416,3.329,21.9218099
1,0,-18.7015,3.328,22.06735026
1,0,-18.54677,3.331,21.89912109
1,0,-18.12005,3.334,21.83769531
1,0,-17.89083,3.329,21.57981771
1,0,-17.92603,3.327,21.5194987
1,0,-17.82811,3.322,21.53499349
1,0,-17.52401,3.32,21.51839193
1,0,-17.59573,3.319,21.33632813
1,0,-17.05234,3.321,21.56321615
1,0,-17.30405,3.322,21.38779297
1,0,-17.36554,3.33,21.31363932
1,0,-16.94735,3.333,21.57981771
1,0,-17.72647,3.339,21.62740885
1,0,-16.88033,3.337,21.29814453
1,0,-17.18524,3.34,21.47467448
1,0,-17.00136,3.341,21.48186849
1,0,-15.86796,3.341,21.43040365
1,0,-13.58359,3.347,20.29928385
1,0,-11.23755,3.366,19.51181641
1,0,-9.33304,3.393,19.39560547
1,0,-8.313,3.401,19.32587891
1,0,-8.13484,3.378,19.28326823
1,0,-3.38886,3.284,14.91318359
1,0,0.31043,3.294,16.22692057
